Date,Time,Timer,Counter,y
-74,-54,,-53,0
,-57,,-48,0
-73,-62,,-53,0
-80,-58,-73,-54,0
,-67,,-54,0
,-54,,-48,0
-72,-65,-71,-55,0
-73,-65,-72,-51,0
,-68,-69,-52,0
-76,-68,,-56,0
,-63,-69,-55,0
-72,-61,-66,-53,0
-73,-64,-68,-55,0
-78,-64,,-49,0
-73,-58,,-48,0
-79,,,-49,0
-73,-57,-70,-64,0
-72,-59,-67,-53,0
-75,-56,-68,-52,0
-75,-59,-70,-58,0
,-59,-67,-50,0
-75,,-68,-50,0
,-63,-71,-49,0
-71,-67,-70,-53,0
-76,-59,-73,-54,0
-71,-63,-71,-54,0
-74,-56,-69,-52,0
-74,-63,-65,-51,0
-74,-64,-68,-48,0
,-57,-71,-55,0
,-50,,-49,0
-73,-54,-69,-53,0
-71,-56,-70,-49,0
-70,-57,-72,-59,0
-62,-55,,-49,0
-71,,-67,-55,0
,-54,-72,-49,0
,-62,-70,-47,0
,-59,,-48,0
,-59,-67,-43,0
,-59,,,0
-77,-59,-72,-45,0
,-62,,-52,0
,-58,-67,-46,0
-69,-57,-65,-43,0
,-59,-63,-59,0
,-55,-66,-43,0
-75,-64,,-43,0
-76,-53,-73,-44,0
,-58,-62,-46,0
-71,-58,,-46,0
-73,-58,-64,-47,0
-74,-54,-65,-47,0
-72,-58,-62,-48,0
-76,-58,-66,-44,0
,-57,-62,-52,0
-75,-53,-65,-45,0
-77,-53,,-46,0
-73,-61,-64,-48,0
,-57,-62,-46,0
-75,-54,-62,-46,0
,-53,-58,-46,0
,-48,-56,-50,0
,-55,,-44,0
,-55,-57,-51,0
,-49,-59,-49,0
,-56,,-53,0
-74,-55,-68,-42,0
-72,-58,-64,-43,0
-72,-52,,-47,0
,-56,-74,-51,0
-69,-55,-65,-47,0
,-55,-68,-43,0
-67,,,-46,0
,-73,,-45,0
-74,-62,-61,-48,0
-71,-57,-70,-56,0
,-52,-68,-45,0
,-57,,-54,0
-78,-55,,-45,0
,-59,,-55,0
-72,-51,-61,-50,0
,-57,,-49,0
,-56,-67,-46,0
,-56,-67,-44,0
,-52,-59,-47,0
,-53,-64,-52,0
-71,-51,-61,-49,0
-73,-52,-61,-52,0
,-52,-63,-47,0
,-48,-61,-50,0
-64,-52,-59,-49,0
-70,-55,-58,-45,0
-69,-56,-64,-46,0
-74,-51,-68,-48,0
-71,-55,-63,-50,0
-68,-49,-66,-48,0
,-58,-64,-55,0
,-57,-63,-53,0
-61,-45,,-64,1
-62,-45,,-67,1
-64,-44,,-66,1
-62,-41,,-64,1
,-41,,-70,1
-59,-40,,-62,1
-64,-47,,,1
-57,-57,,-66,1
-58,-42,-57,,1
-59,-41,,,1
,-45,,-66,1
-55,-44,-56,,1
-55,-41,-55,-70,1
-49,-44,-55,-67,1
-51,-46,-68,,1
-47,-43,-62,-73,1
-58,-46,,,1
-53,-46,-58,,1
-57,,-59,,1
-53,-43,,,1
-57,-47,-60,-62,1
-59,-48,-58,-70,1
-57,-51,-59,,1
-50,-47,-58,,1
-52,-48,,-64,1
-50,-49,-53,,1
-49,-46,,,1
-50,-42,,-65,1
-55,-44,,-68,1
-53,-44,-60,,1
-59,-41,-60,-68,1
-52,-47,,-64,1
-54,-46,-60,,1
-52,-40,-58,,1
-63,-49,-55,,1
-52,-47,-56,-65,1
-53,-47,-67,,1
-57,-41,-65,,1
-56,-48,-62,-67,1
-58,-47,-60,,1
-55,-48,-59,-66,1
,-40,-49,,1
,-45,-52,-61,1
,-39,,,1
,-39,-56,,1
-57,-35,-55,,1
,-37,,,1
-60,-43,-54,,1
-57,-39,,,1
,-39,,,1
,-37,-56,-67,1
,-37,,,1
-60,-39,,,1
-54,-44,-59,,1
,-36,,,1
-53,-42,-53,-60,1
-56,-45,-57,,1
,-40,,,1
,-36,,-64,1
,-32,,,1
,-36,,,1
-56,-38,,,1
-58,-33,,,1
,-31,,,1
,-35,,,1
,-38,,,1
-56,-35,-55,,1
-52,-37,,,1
-58,-42,,-63,1
-60,-37,-54,-62,1
-54,-35,-64,-75,1
-59,-41,-53,,1
-59,-45,,,1
,-38,,-63,1
-57,-47,,-68,1
-57,-49,-51,-70,1
-58,-48,-49,,1
-64,-47,-57,,1
-64,-36,-54,,1
-63,-39,-58,-65,1
-69,-34,-53,,1
-61,-43,-52,-65,1
-64,-34,-61,,1
,-38,-61,-71,1
-62,-44,-54,-65,1
-64,-41,-55,-63,1
-65,-43,-58,-69,1
-63,-40,-54,-66,1
-66,-48,-56,-71,1
-58,-47,-55,,1
-62,-49,-63,,1
-59,-40,-54,-68,1
-63,-47,-55,,1
-65,-49,,-67,1
-58,-44,-57,-61,1
-61,-47,-54,,1
,-45,-55,-67,1
-61,-47,-56,-63,1
-70,-52,-55,-66,1
-61,-46,-52,,1
,-47,-54,,2
-66,-50,,,2
,-43,-54,-73,2
-72,-53,-54,-66,2
,-49,-51,-68,2
,-49,-50,,2
,-49,-50,-68,2
-68,-46,-51,-61,2
-61,-49,,-64,2
-63,-49,-55,-61,2
-58,-44,-55,-60,2
-61,-46,-49,-65,2
-64,-54,-53,-69,2
-65,-55,-56,,2
-67,-47,,,2
-69,-51,-50,-69,2
,-48,-55,,2
-69,,,,2
-68,-53,,-71,2
-65,-53,-54,,2
-71,,-58,,2
-69,-52,-50,-70,2
-66,-55,,,2
-68,,,-65,2
-69,-54,-62,,2
-62,,-53,,2
,,-59,-71,2
,-58,-65,-71,2
-64,-48,,,2
-68,,-57,-64,2
-72,-47,,,2
-67,,-56,,2
-67,-51,-59,-72,2
-66,-50,,-69,2
-67,,-58,,2
-67,-55,,,2
-67,-52,,-74,2
-66,,-51,,2
-68,-52,-54,,2
-65,-51,,,2
-70,-51,-56,,2
-69,-53,,-70,2
-68,-54,,,2
-66,-50,-51,,2
-70,,-64,,2
-58,,-51,-62,2
,-42,-55,-56,2
-63,-40,-54,,2
-67,-51,-53,-61,2
-64,-44,-53,,2
-65,,-57,,2
-70,-49,,-57,2
-56,-47,,,2
-58,,-54,,2
-67,-52,-51,,2
-61,-53,,-66,2
-72,-49,-53,,2
-72,-52,,-65,2
,-52,-57,,2
-67,-54,-53,,2
-70,-55,-54,-74,2
-61,-47,-58,,2
-57,,-54,,2
-67,,,,2
,-50,-54,,2
-60,-45,-56,-54,2
-58,-46,,,2
,-45,,,2
-65,,,,2
-66,-47,-53,-73,2
-72,-54,-54,,2
-67,,-58,-63,2
-68,-54,-56,-57,2
-66,-50,,,2
-69,,,,2
,-54,,-67,2
-63,-58,-55,-64,2
-71,,,,2
,-52,-53,-70,2
-56,-42,-53,,2
-70,-47,,,2
-68,-47,-58,-70,2
-70,-55,-55,,2
-70,-54,,,2
-73,-51,,-68,2
-72,-48,,,2
-67,-52,,,2
,-48,-58,-69,2
-65,-47,-54,,2
,-53,-57,-65,2
-73,-55,-62,-68,2
-71,-56,,,2
-74,,-55,,2
-67,-49,,-70,2
-69,-50,,,2
-72,,,,2
-69,-48,-55,-67,2
-67,,-54,,2
-60,,-64,-67,2
-65,-46,,-59,2
,-53,,,2
,-47,-71,,3
-73,-50,-55,,3
,-50,-53,,3
-62,-50,-52,,3
,-54,-51,,3
,-52,-51,-69,3
-69,,-55,,3
,-50,,-65,3
,-51,-49,-70,3
,-54,-47,-67,3
,-57,-47,,3
,-48,-45,,3
,-46,-46,-64,3
,-47,-50,-69,3
-67,,-46,,3
-67,-47,,-67,3
-71,-48,,-66,3
,-45,-48,,3
,-48,-47,-66,3
-72,-51,-49,-64,3
-69,-53,,,3
,-46,-47,-66,3
,-54,-48,,3
,,-48,,3
-67,-47,-47,-65,3
,-50,-52,,3
-69,,-47,,3
-73,-45,-50,-63,3
,,-47,,3
-73,,-49,-62,3
,-49,-44,-63,3
-68,,-44,,3
,-52,-45,-62,3
,-48,-48,,3
,-45,-47,,3
,-44,-45,,3
,-45,-48,,3
-68,-48,-43,,3
,-47,-48,,3
-72,-52,,-74,3
-68,-41,,-49,3
-74,-45,,-51,3
-61,-46,,-52,3
-56,-44,-50,-56,3
-61,-45,,-56,3
-66,-45,,-53,3
-58,-47,-57,-48,3
-59,-47,,-51,3
-66,-47,,-57,3
,-44,,-50,3
-62,-48,,-50,3
-73,-44,-60,-50,3
-65,-46,-58,-54,3
-67,-43,,-54,3
-65,-45,,-65,3
-63,-51,-62,-49,3
-65,-44,-61,-49,3
-66,-47,-57,-51,3
-65,-42,,-51,3
-70,-42,,-50,3
-71,-48,-66,-55,3
-62,-45,,-56,3
-63,-50,,-58,3
-66,-43,-57,-55,3
,-45,,-50,3
-68,-49,-56,-50,3
-62,-50,,-53,3
,-45,,-53,3
-66,-47,-60,-51,3
-65,-47,-59,-53,3
-68,-40,-65,-49,3
-63,,,-49,3
-66,-42,,-52,3
-67,-38,,-48,3
,-38,,-52,3
,-42,,-61,3
-69,-41,,-62,3
-68,-44,,-47,3
-65,,,-50,3
-66,-44,-57,-46,3
-64,-43,,-51,3
